agent_id,origin_node_id,destination_node_id,customized_cost_link_type,customized_cost_link_value,agent_type,set_of_allowed_links
1,1001,4002,1,74,1,1;2;3
2,1001,4003,1,37,1,1;2;3
3,1001,4004,1,4,1,1;2;3
4,1001,4005,1,31,1,1;2;3
5,1001,4006,1,61,1,1;2;3
6,1001,4007,1,38,1,1;2;3
7,1001,4008,1,97,1,1;2;3
8,1001,4009,1,56,1,1;2;3
9,1001,4010,1,8,1,1;2;3
10,1001,4011,1,53,1,1;2;3
11,1001,4012,1,12,1,1;2;3
12,1001,4013,1,47,1,1;2;3
13,1001,4014,1,5,1,1;2;3
14,1001,4015,1,70,1,1;2;3
15,1001,4016,1,18,1,1;2;3
16,1001,4017,1,97,1,1;2;3
17,1001,4018,1,40,1,1;2;3
18,1001,4019,1,0,1,1;2;3
19,1001,4020,1,56,1,1;2;3
20,1001,4021,1,60,1,1;2;3
21,1001,4022,1,61,1,1;2;3
22,1001,4023,1,13,1,1;2;3
23,1001,4024,1,90,1,1;2;3
24,1001,4025,1,76,1,1;2;3
25,1001,4026,1,11,1,1;2;3
26,1001,4027,1,89,1,1;2;3
27,1001,4028,1,37,1,1;2;3
28,1001,4029,1,34,1,1;2;3
29,1001,4030,1,91,1,1;2;3
30,1001,4031,1,69,1,1;2;3
31,1001,4032,1,54,1,1;2;3
32,1001,4033,1,48,1,1;2;3
33,1001,4034,1,56,1,1;2;3
34,1001,4035,1,84,1,1;2;3
35,1001,4036,1,21,1,1;2;3
36,1001,4037,1,51,1,1;2;3
37,1001,4038,1,42,1,1;2;3
38,1001,4039,1,50,1,1;2;3
39,1001,4040,1,61,1,1;2;3
40,1001,4041,1,61,1,1;2;3
41,1001,4042,1,9,1,1;2;3
42,1001,4043,1,87,1,1;2;3
43,1001,4044,1,99,1,1;2;3
44,1001,4045,1,39,1,1;2;3
45,1001,4046,1,91,1,1;2;3
46,1001,4047,1,63,1,1;2;3
47,1001,4048,1,62,1,1;2;3
48,1001,4049,1,52,1,1;2;3
49,1001,4050,1,32,1,1;2;3
50,1001,4051,1,15,1,1;2;3
51,1001,4052,1,57,1,1;2;3
52,1001,4053,1,39,1,1;2;3
53,1001,4054,1,80,1,1;2;3
54,1001,4055,1,75,1,1;2;3
55,1001,4056,1,8,1,1;2;3
56,1001,4057,1,56,1,1;2;3
57,1001,4058,1,84,1,1;2;3
58,1001,4059,1,87,1,1;2;3
59,1001,4060,1,42,1,1;2;3
60,1001,4061,1,53,1,1;2;3
61,1001,4062,1,28,1,1;2;3
62,1001,4063,1,74,1,1;2;3
63,1001,4064,1,23,1,1;2;3
64,1001,4065,1,83,1,1;2;3
65,1001,4066,1,64,1,1;2;3
66,1001,4067,1,74,1,1;2;3
67,1001,4068,1,39,1,1;2;3
68,1001,4069,1,86,1,1;2;3
69,1001,4070,1,56,1,1;2;3
70,1001,4071,1,52,1,1;2;3
71,1001,4072,1,95,1,1;2;3
