link_id,from_node_id,to_node_id,fixed_cost,link_type,acting_link_id
1,1001,2001,0,2,1
2,1001,2002,0,2,2
3,1001,2003,0,2,3
4,1001,2004,0,2,4
5,1001,2005,0,2,5
6,1001,2006,0,2,6
7,1001,2007,0,2,7
8,1001,2008,0,2,8
9,1001,2009,0,2,9
10,1001,2010,0,2,10
11,1001,2011,0,2,11
12,1001,2012,0,2,12
13,1001,2013,0,2,13
14,1001,2014,0,2,14
15,1001,2015,0,2,15
16,1001,2016,0,2,16
17,1001,2017,0,2,17
18,1001,2018,0,2,18
19,1001,2019,0,2,19
20,1001,2020,0,2,20
21,1001,2021,0,2,21
22,1001,2022,0,2,22
23,1001,2023,0,2,23
24,1001,2024,0,2,24
25,1001,2025,0,2,25
26,1001,2026,0,2,26
27,1001,2027,0,2,27
28,1001,2028,0,2,28
29,1001,2029,0,2,29
30,1001,2030,0,2,30
31,1001,2031,0,2,31
32,1001,2032,0,2,32
33,1001,2033,0,2,33
34,1001,2034,0,2,34
35,1001,2035,0,2,35
36,1001,2036,0,2,36
37,1001,2037,0,2,37
38,1001,2038,0,2,38
39,1001,2039,0,2,39
40,1001,2040,0,2,40
41,1001,2041,0,2,41
42,1001,2042,0,2,42
43,1001,2043,0,2,43
44,1001,2044,0,2,44
45,1001,2045,0,2,45
46,1001,2046,0,2,46
47,1001,2047,0,2,47
48,1001,2048,0,2,48
49,1001,2049,0,2,49
50,1001,2050,0,2,50
51,1001,2051,0,2,51
52,1001,2052,0,2,52
53,1001,2053,0,2,53
54,1001,2054,0,2,54
55,1001,2055,0,2,55
56,1001,2056,0,2,56
57,1001,2057,0,2,57
58,1001,2058,0,2,58
59,1001,2059,0,2,59
60,1001,2060,0,2,60
61,1001,2061,0,2,61
62,1001,2062,0,2,62
63,1001,2063,0,2,63
64,1001,2064,0,2,64
65,1001,2065,0,2,65
66,1001,2066,0,2,66
67,1001,2067,0,2,67
68,1001,2068,0,2,68
69,1001,2069,0,2,69
70,1001,2070,0,2,70
71,1001,2071,0,2,71
